Anio,Amazonas,Áncash,Apurímac,Arequipa,Ayacucho,Cajamarca,Cusco,Huancavelica,Huánuco,Ica,Junín,La Libertad,Lambayeque,Lima,Prov. Const. del Callao,Región Lima,Provincia de Lima,Loreto,Madre de Dios,Moquegua,Pasco,Piura,Puno,San Martín,Tacna,Tumbes,Ucayali
2007,1778775,15672771,1824181,16991831,2975676,8159499,10913725,2475279,3200861,8793956,9240435,14615612,6880023,136238703,13386423,11404858,111447422,6910964,1864543,7525100,5486459,12651720,5888474,3266254,5143137,1637185,3054659
2008,1930947,16854588,1688564,18885807,3401175,9319769,11663686,2613850,3464132,10415637,10023855,15653801,7512522,148415981,14627416,12488983,121299582,7324982,1902177,8663619,5416732,13580502,6328455,3598432,5016741,1902059,3212843
2009,2058318,16400826,1623801,19032479,3750401,10050467,13631820,2696095,3499798,10841974,9039077,15716171,7910362,148910138,14288888,11612252,123008998,7374935,2033411,8436303,5040946,13998851,6587873,3740600,4823192,2082047,3243767
2010,2210682,16013215,1765744,20158733,3922514,10140905,15405459,2817536,3739082,11607992,9518659,16624855,8449884,164623842,15689336,12300019,136634487,7906943,2229180,8457008,4702403,15106528,6980479,4034361,5338879,2307874,3351315
2011,2287107,16155687,1869417,21038813,4111349,10595497,17384466,2909215,3955589,12883432,10009485,17378414,8937792,178742876,17563803,13562753,147616320,7608889,2454999,7785269,4641887,16366999,7384505,4245537,5466509,2168906,3548168
2012,2551601,17666947,2110908,22033542,4482971,11270583,17711332,3143661,4380310,13067505,10718558,18712792,9782672,189597321,18070083,13897097,157630141,8212422,1950139,7756800,4880072,17066135,7734458,4752177,5526840,2440755,3882453
2013,2682266,18478843,2342674,22629103,4906299,11086928,20708699,3174927,4642728,14394675,11095514,19532083,10138533,200400691,19196199,14893394,166311098,8505693,2240082,8598669,4885819,17746782,8294320,4828116,5781849,2491026,3947464
2014,2824603,16028265,2437434,22773308,4879476,10855588,20723581,3281748,4799787,14809397,12391582,19821258,10354938,208022491,19828477,15468191,172725823,8779305,1923155,8371348,5046668,18750443,8487313,5173301,6094038,2607186,3957775
2015,2782128,17584621,2630345,23524592,5162331,10798612,21071852,3265820,5114983,15295581,14412891,20274733,10809529,214469326,20209052,15992567,178267707,8584514,2346810,8693747,5211406,18866671,8519702,5466266,6598403,2540855,4163474
2016,2784366,18365696,6343065,29623112,5177917,10581305,21898270,3212948,5345445,15325191,14285221,20448345,11080412,220241329,20690862,16146749,183403718,7602217,2663699,8635514,5329324,18924869,9075999,5588107,6506248,2507255,4176645
2017,2940822,19317454,7718535,30724797,5451854,10901682,21576717,3354985,5832171,16206741,14954057,20797558,11371483,224691974,21400320,16285655,187005999,8087444,2409050,8696704,5333755,18473111,9434737,5944145,6584715,2649033,4305190
2018,3118373,20712339,7131314,31506818,5760202,11209419,21700735,3525421,6010056,16994391,15459518,21840178,11837862,234445543,22229310,17183773,195032460,8932782,2255653,8785457,5337612,19758433,9666999,6063316,7110940,2752958,4440780
2019,3168990,20059093,7170478,31404343,5931518,11479756,22006880,3527812,6081484,17656354,15330366,22637274,12113549,240498497,22458010,17316831,200723656,9336037,2124983,8416846,5443881,20626256,9803780,6081464,8737472,2919599,4625127